basic_id,content,source_standard,identifier,requirement_item,section_level1,section_level2,section_level3,section_level4,section_level5,applicability_level
80,"7.1.3.3 入侵防范
应在关键网络节点处监视网络攻击行为。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,入侵防范,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.3 安全区域边界,7.1.3.3 入侵防范,第二级
81,"7.1.3.4 恶意代码防范
应在关键网络节点处对恶意代码进行检测和清除，并维护恶意代码防护机制的升级和更新。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,恶意代码防范,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.3 安全区域边界,7.1.3.4 恶意代码防范,第二级
82,"7.1.3.5 安全审计
本项要求包括：
a）应在网络边界、重要网络节点进行安全审计，审计覆盖到每个用户，对重要的用户行为和重要安全事件进行审计；
b）审计记录应包括事件的日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息；c）应对审计记录进行保护，定期备份，避免受到未预期的删除、修改或覆盖等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全审计,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.3 安全区域边界,7.1.3.5 安全审计,第二级
83,"7.1.3.6 可信验证
可基于可信根对边界设备的系统引导程序、系统程序、重要配置参数和边界防护应用程序等进行可信验证，并在检测到其可信性受到破坏后进行报警，并将验证结果形成审计记录送至安全管理中心。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,可信验证,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.3 安全区域边界,7.1.3.6 可信验证,第二级
84,"7.1.4.1 身份鉴别
本项要求包括：
a）应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换；b）应具有登录失败处理功能，应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施；c）当进行远程管理时，应采取必要措施防止鉴别信息在网络传输过程中被窃听。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,身份鉴别,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.1 身份鉴别,第二级
85,"7.1.4.2 访问控制
本项要求包括：
a）应对登录的用户分配账户和权限；b）应重命名或删除默认账户，修改默认账户的默认口令；c）应及时删除或停用多余的、过期的账户，避免共享账户的存在；d）应授予管理用户所需的最小权限，实现管理用户的权限分离。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.2 访问控制,第二级
86,"7.1.4.3 安全审计
本项要求包括：
a）应启用安全审计功能，审计覆盖到每个用户，对重要的用户行为和重要安全事件进行审计；b）审计记录应包括事件的日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息；c）应对审计记录进行保护，定期备份，避免受到未预期的删除、修改或覆盖等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全审计,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.3 安全审计,第二级
87,"7.1.4.4 入侵防范
本项要求包括：
a）应遵循最小安装的原则，仅安装需要的组件和应用程序；b）应关闭不需要的系统服务、默认共享和高危端口；c）应通过设定终端接入方式或网络地址范围对通过网络进行管理的管理终端进行限制；d）应提供数据有效性检验功能，保证通过人机接口输入或通过通信接口输入的内容符合系统设定要求；e）应能发现可能存在的已知漏洞，并在经过充分测试评估后，及时修补漏洞。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,入侵防范,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.4 入侵防范,第二级
88,"7.1.4.5 恶意代码防范
应安装防恶意代码软件或配置具有相应功能的软件，并定期进行升级和更新防恶意代码库。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,恶意代码防范,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.5 恶意代码防范,第二级
89,"7.1.4.6 可信验证
可基于可信根对计算设备的系统引导程序、系统程序、重要配置参数和应用程序等进行可信验证，并在检测到其可信性受到破坏后进行报警，并将验证结果形成审计记录送至安全管理中心。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,可信验证,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.6 可信验证,第二级
90,"7.1.4.7 数据完整性
应采用校验技术保证重要数据在传输过程中的完整性。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,数据完整性,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.7 数据完整性,第二级
91,"7.1.4.8 数据备份恢复
本项要求包括：
a）应提供重要数据的本地数据备份与恢复功能；b）应提供异地数据备份功能，利用通信网络将重要数据定时批量传送至备用场地。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,数据备份与恢复,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.8 数据备份恢复,第二级
92,"7.1.4.9 剩余信息保护
应保证鉴别信息所在的存储空间被释放或重新分配前得到完全清除。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,剩余信息保护,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.9 剩余信息保护,第二级
93,"7.1.4.10 个人信息保护
本项要求包括：
a）应仅采集和保存业务必需的用户个人信息；b）应禁止未授权访问和非法使用用户个人信息。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,资产管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.4 安全计算环境,7.1.4.10 个人信息保护,第二级
94,"7.1.5.1 系统管理
本项要求包括：
a）应对系统管理员进行身份鉴别，只允许其通过特定的命令或操作界面进行系统管理操作，并对这些操作进行审计；b）应通过系统管理员对系统的资源和运行进行配置、控制和管理，包括用户身份、系统资源配置、系统加载和启动、系统运行的异常处理、数据和设备的备份与恢复等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.5 安全管理中心,7.1.5.1 系统管理,第二级
95,"7.1.5.2 审计管理
本项要求包括：
a）应对审计管理员进行身份鉴别，只允许其通过特定的命令或操作界面进行安全审计操作，并对这些操作进行审计；b）应通过审计管理员对审计记录进行分析，并根据分析结果进行处理，包括根据安全审计策略对审计记录进行存储、管理和查询等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全审计,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.5 安全管理中心,7.1.5.2 审计管理,第二级
96,"7.1.6.1 安全策略
应制定网络安全工作的总体方针和安全策略，阐明机构安全工作的总体目标、范围、原则和安全框架等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全管理制度,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.6 安全管理制度,7.1.6.1 安全策略,第二级
97,"7.1.6.2 管理制度
本项要求包括：
a）应对安全管理活动中的主要管理内容建立安全管理制度；b）应对管理人员或操作人员执行的日常管理操作建立操作规程。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全管理制度,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.6 安全管理制度,7.1.6.2 管理制度,第二级
98,"7.1.6.3 制定和发布
本项要求包括：
a）应指定或授权专门的部门或人员负责安全管理制度的制定；b）安全管理制度应通过正式、有效的方式发布，并进行版本控制。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全管理制度,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.6 安全管理制度,7.1.6.3 制定和发布,第二级
99,"7.1.6.4 评审和修订
应定期对安全管理制度的合理性和适用性进行论证和审定，对存在不足或需要改进的安全管理制度进行修订。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全管理制度,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.6 安全管理制度,7.1.6.4 评审和修订,第二级
100,"7.1.7.1 岗位设置
本项要求包括：
a）应设立网络安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责；b）应设立系统管理员、网络管理员、安全管理员等岗位，并定义部门及各个工作岗位的职责。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,第二级
101,"7.1.7.2 人员配备
本项要求包括：
a）应配备一定数量的系统管理员、网络管理员、安全管理员等；b）应配备专职安全管理员，不可兼任。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.7 安全管理机构,7.1.7.2 人员配备,第二级
102,"7.1.7.3 授权和审批
本项要求包括：
a）应根据各个部门和岗位的职责明确授权审批事项、审批部门和批准人等；b）应针对系统变更、重要操作、物理访问和系统接入等事项建立审批程序，按照审批程序执行审批过程，对重要活动建立逐级审批制度；c）应定期审查审批事项，及时更新需授权和审批的项目、审批部门和审批人等信息。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,第二级
103,"7.1.7.4 沟通和合作
本项要求包括：
a）应加强各类管理人员之间、组织内部机构之间以及网络安全职能部门内部的合作与沟通，定期召开协调会议，共同协作处理网络安全问题；b）应加强与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通；c）应建立外联单位联系列表，包括外联单位名称、合作内容、联系人和联系方式等信息。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.7 安全管理机构,7.1.7.4 沟通和合作,第二级
104,"7.1.7.5 审核和检查
本项要求包括：
a）应定期进行常规安全检查，检查内容包括系统日常运行、系统漏洞和数据备份等情况；b）应定期进行全面安全检查，检查内容包括现有安全技术措施的有效性、安全配置与安全策略的一致性、安全管理制度的执行情况等；c）应制定安全检查表格实施安全检查，汇总安全检查数据，形成安全检查报告，并对安全检查结果进行通报。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全审计,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,第二级
105,"7.1.8.1 人员录用
本项要求包括：
a）应指定或授权专门的部门或人员负责人员录用；b）应规范人员录用过程，对被录用人的身份、背景、专业资格和资质等进行审查，对其所具有的技术技能进行考核；c）应与被录用人员签署保密协议，与关键岗位人员签署岗位责任协议。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.8 安全管理人员,7.1.8.1 人员录用,第二级
106,"7.1.8.2 人员离岗
本项要求包括：
a）应及时终止离岗人员的所有访问权限，取回各种身份证件、钥匙、徽章等以及机构提供的软硬件设备；b）应办理严格的调离手续，并承诺调离后的保密义务后方可离开。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.8 安全管理人员,7.1.8.2 人员离岗,第二级
107,"7.1.8.3 安全意识教育和培训
本项要求包括：
a）应对各类人员进行安全意识教育和岗位技能培训，并告知相关的安全责任和惩戒措施；b）应针对不同岗位制定不同的培训计划，对安全基础知识、岗位操作规程等进行培训；c）应定期对不同岗位的人员进行技能考核。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全意识与培训,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.8 安全管理人员,7.1.8.3 安全意识教育和培训,第二级
108,"7.1.8.4 外部人员访问管理
本项要求包括：
a）应在外部人员物理访问受控区域前先提出书面申请，批准后由专人全程陪同，并登记备案；b）应在外部人员接入受控网络访问系统前先提出书面申请，批准后由专人开设账户、分配权限，并登记备案；c）外部人员离场后应及时清除其所有的访问权限；d）获得系统访问授权的外部人员应签署保密协议，不得进行非授权操作，不得复制和泄露任何敏感信息。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.8 安全管理人员,7.1.8.4 外部人员访问管理,第二级
109,"7.1.9.1 定级和备案
本项要求包括：
a）应以书面的形式说明保护对象的安全保护等级及确定等级的方法和理由；b）应组织相关部门和有关安全技术专家对定级结果的合理性和正确性进行论证和审定；c）应保证定级结果经过相关部门的批准；d）应将备案材料报主管部门和相应公安机关备案。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,等级保护实施,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.1 定级和备案,第二级
110,"7.1.9.2 安全方案设计
本项要求包括：
a）应根据安全保护等级选择基本安全措施，并依据风险分析的结果补充和调整安全措施；b）应根据保护对象的安全保护等级及与其他级别保护对象的关系进行统一的安全规划和安全方案设计；c）应组织相关部门和有关安全专家对安全整体规划及其配套文件的合理性和正确性进行论证和审定，经过批准后才能正式实施。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全管理制度,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.2 安全方案设计,第二级
111,"7.1.9.3 产品采购和使用
本项要求包括：
a）应确保网络安全产品采购和使用符合国家的有关规定；b）应预装或主动下载并安装操作系统、数据库系统、网络设备、网络安全产品的最新安全补丁；c）应确保密码产品与服务采购和使用符合国家密码管理主管部门的要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,外包与供应商管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.3 产品采购和使用,第二级
112,"7.1.9.4 自行软件开发
本项要求包括：
a）应将开发环境与实际运行环境物理分开，测试数据和测试结果受到控制；b）应制定软件开发管理制度，明确说明开发过程的控制方法和人员行为准则；c）应制定代码编写安全规范，要求开发人员参照规范编写代码；d）应确保具备软件设计的相关文档和使用指南，并对文档使用进行控制；e）应确保在软件开发过程中对安全性进行测试，在软件安装前对可能存在的恶意代码进行检测。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,外包与供应商管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.4 自行软件开发,第二级
113,"7.1.9.5 外包软件开发
本项要求包括：
a）应在软件交付前检测其中可能存在的恶意代码；b）应要求开发单位提供软件设计文档和使用指南；c）应要求开发单位提供软件源代码，并审查软件中可能存在的后门；d）应要求开发单位提供软件安全设计文档。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,外包与供应商管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.5 外包软件开发,第二级
114,"7.1.9.6 工程实施
本项要求包括：
a）应指定或授权专门的部门或人员负责工程实施过程的管理；b）应制定详细的工程实施方案控制实施过程，并要求工程实施单位能正式地执行安全工程过程；c）应制定工程实施方面的管理制度，明确说明实施过程的控制方法和人员行为准则。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,工程与交付管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.6 工程实施,第二级
115,"7.1.9.7 测试验收
本项要求包括：
a）应制订测试验收方案，并依据测试验收方案对系统进行测试验收；b）应组织相关部门和相关人员对测试验收报告进行审定，并签字确认。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,工程与交付管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.7 测试验收,第二级
116,"7.1.9.8 系统交付
本项要求包括：
a）应制定交付清单，并根据交付清单对所交接的设备、软件和文档等进行清点；b）应对负责系统运行维护的技术人员进行相应的技能培训；c）应确保提供系统建设过程中的文档和指导用户进行系统运行维护的文档；d）应对系统交付的控制方法和人员行为准则进行书面规定。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,工程与交付管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.8 系统交付,第二级
117,"7.1.9.9 等级测评
本项要求包括：
a）应定期进行等级测评，发现不符合相应等级保护标准要求的及时整改；b）应在发生重大变更或级别发生变化时进行等级测评；c）应选择具有国家相关技术资质和安全资质的测评单位进行等级测评；d）应指定或授权专门的部门或人员负责等级测评的管理。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,等级保护实施,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.9 等级测评,第二级
118,"7.1.9.10 服务供应商选择
本项要求包括：
a）应确保服务供应商的选择符合国家的有关规定；b）应与选定的服务供应商签订相关协议，明确整个服务供应链各方需履行的网络安全相关义务；c）应定期监督、评审和审核服务供应商提供的服务，并对其变更服务内容加以控制。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,外包与供应商管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.9 安全建设管理,7.1.9.10 服务供应商选择,第二级
119,"7.1.10.1 环境管理
本项要求包括：
a）应指定专门的部门或人员负责机房安全，对机房出入进行管理，定期对机房供配电、空调、温湿度控制、消防等设施进行维护管理；b）应建立机房安全管理制度，对有关机房物理访问，物品带进、带出机房和机房环境安全等方面的管理作出规定；c）应不在重要区域接待来访人员和桌面上没有包含敏感信息的纸档文件、移动介质等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.1 环境管理,第二级
120,"7.1.10.2 资产管理
本项要求包括：
a）应编制并保存与保护对象相关的资产清单，包括资产责任部门、重要程度和所处位置等内容；b）应根据资产的重要程度对资产进行标识管理，根据资产的价值选择相应的管理措施；c）应对信息分类与标识方法作出规定，并对信息的使用、传输和存储等进行规范化管理。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,资产管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.2 资产管理,第二级
121,"7.1.10.3 介质管理
本项要求包括：
a）应将介质存放在安全的环境中，对各类介质进行控制和保护，实行存储环境专人管理，并根据存档介质的目录清单定期盘点；b）应对介质在物理传输过程中的人员选择、打包、交付等情况进行控制，对介质归档和查询等进行登记记录，并根据存档介质的目录清单定期盘点；c）应确保介质在传输过程中安全可靠，对需要送出维修或销毁的介质，应首先清除其中的敏感数据，防止信息的非法泄漏；d）应根据数据备份的需要对某些介质实行异地存储，存储地的环境要求和管理方法应与本地相同。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,剩余信息保护,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.3 介质管理,第二级
122,"7.1.10.4 设备维护管理
本项要求包括：
a）应对各种设备（包括备份和冗余设备）、线路等指定专门的部门或人员定期进行维护管理；b）应建立配套设施、软硬件维护方面的管理制度，对其维护进行有效的管理，包括明确维护人员的责任、涉外维修和服务的审批、维修过程的监督控制等；c）应确保信息处理设备必须经过审批才能带离机房或办公地点，含有存储介质的设备带出工作环境时其中重要数据必须加密；d）含有存储介质的设备在报废或重用前，应进行完全清除或被破坏，确保该介质的报废或重用符合保密要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.4 设备维护管理,第二级
123,"7.1.10.5 漏洞和风险管理
本项要求包括：
a）应采取必要的措施识别安全漏洞和隐患，对发现的安全漏洞和隐患及时进行修补或评估可能的影响后进行修补；b）应定期开展安全测评，形成安全测评报告，采取措施应对发现的安全问题；c）应建立安全管理制度，对安全漏洞和风险的识别、修补、评估、报告等过程进行规范。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,漏洞与风险管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.5 漏洞和风险管理,第二级
124,"7.1.10.6 网络和系统安全管理
本项要求包括：
a）应划分不同的管理员角色进行网络和系统的运维管理，明确各个角色的责任和权限；b）应指定专门的部门或人员进行账户管理，对申请账户、建立账户、删除账户等进行控制；c）应建立网络和系统安全管理制度，对安全策略、账户管理、配置管理、日志管理、日常操作、升级、打补丁、口令更新周期等方面作出规定；d）应制定重要设备的配置和操作手册，依据手册对设备进行安全配置和优化配置等；e）应详细记录日常操作、运行维护记录、参数的设置和修改等内容。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,网络架构,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.6 网络和系统安全管理,第二级
125,"7.1.10.7 恶意代码防范管理
本项要求包括：
a）应提高所有用户的防恶意代码意识，对外来计算机或存储设备接入系统前进行恶意代码检查等；b）应定期验证防范恶意代码攻击的技术措施的有效性；c）应建立恶意代码防范管理制度，对防恶意代码软件、恶意代码库更新、恶意代码检测、恶意代码清除等过程进行规范。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,恶意代码防范,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.7 恶意代码防范管理,第二级
126,"7.1.10.8 配置管理
本项要求包括：
a）应记录和保存基本配置信息，包括网络拓扑结构、各个设备安装的软件组件、软件组件的版本和补丁信息、各个设备或组件的配置参数等；b）应将基本配置信息改变纳入变更范畴，实施对配置信息改变的控制，并及时更新基本配置信息库；c）应建立配置管理制度，对配置变更、配置信息库维护等过程进行规范。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.8 配置管理,第二级
127,"7.1.10.9 密码管理
本项要求包括：
a）应遵循密码相关国家标准和行业标准；b）应使用国家密码管理主管部门认证核准的密码技术和产品；c）应建立密码管理制度，对密码算法选择、密钥管理、密码产品使用等过程进行规范。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,数据保密性,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.9 密码管理,第二级
128,"7.1.10.10 变更管理
本项要求包括：
a）应明确变更需求，变更前根据变更需求制定变更方案，变更方案经过评审、审批后方可实施；b）应建立变更的申报和审批控制程序，依据程序控制所有的变更，记录变更实施过程；c）应建立中止变更并从失败变更中恢复的程序，明确过程控制方法和人员职责，必要时对恢复过程进行演练。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.10 变更管理,第二级
129,"7.1.10.11 备份与恢复管理
本项要求包括：
a）应识别需要定期备份的重要业务信息、系统数据及软件系统等；b）应规定备份信息的备份方式、备份频度、存储介质、保存期等；c）应根据数据的重要性和数据对系统运行的影响，制定数据的备份策略和恢复策略，备份策略须指明备份数据的放置场所、文件命名规则、介质替换频率和将数据离站运输的方法等；d）应建立控制数据备份和恢复过程的程序，记录备份过程，对需要采取加密或数据隐藏等处理的备份数据，进行备份和加密操作；e）应定期执行恢复程序，检查和测试备份介质的有效性，确保可以在恢复程序规定的时间内完成备份的恢复。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,数据备份与恢复,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.11 备份与恢复管理,第二级
130,"7.1.10.12 安全事件处置
本项要求包括：
a）应及时向安全管理部门报告所发现的安全弱点和可疑事件；b）应制定安全事件报告和处置管理制度，明确安全事件类型，规定安全事件的现场处理、事件报告和后期恢复的管理职责；c）应根据安全事件对本单位产生的影响，对本单位发生的网络安全事件进行分级管理；d）应记录并保存所有报告的安全弱点和可疑事件，分析事件原因，监督事态发展，采取措施避免安全事件发生。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全事件管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.12 安全事件处置,第二级
131,"7.1.10.13 应急预案管理
本项要求包括：
a）应规定统一的应急预案框架，并在此框架下制定不同事件的应急预案，包括应急处理策略、应急处理流程、应急预案启动条件、应急处理流程涉及的人员和物资、应急处理流程的培训等；b）应从人力、设备、技术和财务等方面确保应急预案的执行有足够的资源保障；c）应定期对系统相关的人员进行应急预案培训，并进行应急预案的演练；d）应定期对应急预案进行评估，根据实际情况和演练情况不断更新和完善应急预案；e）应规定对应急预案进行版本控制、应急预案的审批和发布、应急预案的保管等要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全事件管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.13 应急预案管理,第二级
132,"7.1.10.14 外包运维管理
本项要求包括：
a）应确保外包运维服务商的选择符合国家的有关规定；b）应与选定的外包运维服务商签订相关的协议，明确外包运维的范围、工作内容、安全责任和保密要求等；c）应建立外包运维服务商的评估审核机制，定期评估外包运维服务商的服务质量，对违反协议的外包运维服务商，应及时终止合作；d）应严格控制外包运维服务商的访问权限，及时清除过期账户和权限；e）应要求外包运维服务商保留操作痕迹，记录操作日志，并定期审计外包运维服务商的操作行为。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,外包与供应商管理,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.10 安全运维管理,7.1.10.14 外包运维管理,第二级
133,"8.1.1.1 物理位置选择
本项要求包括：
a）应选择在具有防震、防风和防雨等能力的建筑内；b）应设置专门的机房，避免设在建筑物的高层或地下室，以及用水设备的下层或隔壁；c）应避开强电磁场、强振动源、强噪声源等场所；d）机房出入口应配置电子门禁系统，控制、鉴别和记录进入的人员。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理访问控制,信息安全技术网络安全等级保护基本要求,8 第三级安全要求,8.1 安全通用要求,8.1.1 安全物理环境,8.1.1.1 物理位置选择,第三级
134,"8.1.1.2 物理访问控制
本项要求包括：
a）应将机房划分为不同的物理区域，并设置相应的访问控制措施；b）应对机房划分区域进行管理，区域和区域之间应用物理方式隔断；c）应对重要区域配置第二道电子门禁系统，控制、鉴别和记录进入的人员。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理访问控制,信息安全技术网络安全等级保护基本要求,8 第三级安全要求,8.1 安全通用要求,8.1.1 安全物理环境,8.1.1.2 物理访问控制,第三级
