cp_id,content,source_standard,identifier,requirement_item,section_level1,section_level2,section_level3,section_level4,section_level5,applicability_level
76,"7.1.4.2 访问控制
7.1.4.2.1 测评单元（L2-CES1-04）
该测评单元包括以下要求：
a）测评指标：应对登录的用户分配账户和权限。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否为用户分配了账户和权限及相关设置情况；2）应核查是否已禁用或限制匿名、默认账户的访问权限。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.2.2 测评单元（L2-CES1-05）
该测评单元包括以下要求：
a）测评指标：应重命名或删除默认账户，修改默认账户的默认口令。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否已经重命名默认账户或默认账户已被删除；2）应核查是否已修改默认账户的默认口令。d）单元判定：如果1）或2）为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.2.3 测评单元（L2-CES1-06）
该测评单元包括以下要求：
a）测评指标：应及时删除或停用多余的、过期的账户，避免共享账户的存在。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否不存在多余或过期账户，管理员用户与账户之间是否一一对应；2）应核查并测试多余的、过期的账户是否被删除或停用。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.2.4 测评单元（L2-CES1-07）
该测评单元包括以下要求：
a）测评指标：应授予管理用户所需的最小权限，实现管理用户的权限分离。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否进行角色划分；2）应核查管理用户的权限是否已进行分离；3）应核查管理用户权限是否为其工作任务所需的最小权限。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,访问控制,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.2 访问控制,第二级
77,"7.1.4.3 安全审计
7.1.4.3.1 测评单元（L2-CES1-08）
该测评单元包括以下要求：
a）测评指标：应提供安全审计功能，审计覆盖到每个用户，对重要的用户行为和重要安全事件进行审计。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否提供并开启了安全审计功能；2）应核查安全审计范围是否覆盖到每个用户；3）应核查是否对重要的用户行为和重要安全事件进行审计。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.3.2 测评单元（L2-CES1-09）
该测评单元包括以下要求：
a）测评指标：审计记录应包括事件的日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施：应核查审计记录信息是否包括事件的日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.3.3 测评单元（L2-CES1-10）
该测评单元包括以下要求：
a）测评指标：应对审计记录进行保护，定期备份，避免受到未预期的删除、修改或覆盖等。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否采取了保护措施对审计记录进行保护；2）应核查是否采取技术措施对审计记录进行定期备份，并核查其备份策略。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全审计,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.3 安全审计,第二级
78,"7.1.4.4 入侵防范
7.1.4.4.1 测评单元（L2-CES1-11）
该测评单元包括以下要求：
a）测评指标：应遵循最小安装的原则，仅安装需要的组件和应用程序。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备和控制设备等。c）测评实施包括以下内容：1）应核查是否遵循最小安装原则；2）应核查是否未安装非必要的组件和应用程序。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.4.2 测评单元（L2-CES1-12）
该测评单元包括以下要求：
a）测评指标：应关闭不需要的系统服务、默认共享和高危端口。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备和控制设备等。c）测评实施包括以下内容：1）应核查是否关闭了非必要的系统服务和默认共享；2）应核查是否存在非必要的高危端口。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.4.3 测评单元（L2-CES1-13）
该测评单元包括以下要求：
a）测评指标：应通过设定终端接入方式或网络地址范围对通过网络进行管理的管理终端进行限制。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备和控制设备等。c）测评实施：应核查配置文件或参数是否对终端接入范围进行限制。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.4.4.4 测评单元（L2-CES1-14）
该测评单元包括以下要求：
a）测评指标：应提供数据有效性检验功能，保证通过人机接口输入或通过通信接口输入的内容符合系统设定要求。b）测评对象：业务应用系统、中间件和系统管理软件及系统设计文档等。c）测评实施：应核查系统设计文档的内容是否包括数据有效性检验功能的内容或模块。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.4.4.5 测评单元（L2-CES1-15）
该测评单元包括以下要求：
a）测评指标：应能发现可能存在的已知漏洞，并在经过充分测试评估后，及时修补漏洞。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件等。c）测评实施包括以下内容：1）应核查是否不存在高风险漏洞，如漏洞扫描、渗透测试等；2）应核查是否在经过充分测试评估后及时修补漏洞。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,入侵防范,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.4 入侵防范,第二级
79,"7.1.4.5 恶意代码防范
7.1.4.5.1 测评单元（L2-CES1-16）
该测评单元包括以下要求：
a）测评指标：应安装防恶意代码软件或配置具有相应功能的软件，并定期进行升级和更新防恶意代码库。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）和移动终端等。c）测评实施包括以下内容：1）应核查是否安装了防恶意代码软件或相应功能的软件；2）应核查是否定期进行升级和更新防恶意代码库。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,恶意代码防范,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.5 恶意代码防范,第二级
80,"7.1.4.6 可信验证
7.1.4.6.1 测评单元（L2-CES1-17）
该测评单元包括以下要求：
a）测评指标：可基于可信根对计算设备的系统引导程序、系统程序、重要配置参数和应用程序等进行可信验证，并在检测到其可信性受到破坏后进行报警，并将验证结果形成审计记录送至安全管理中心。b）测评对象：提供可信验证的设备或组件、提供集中审计功能的系统。c）测评实施包括以下内容：1）应核查是否基于可信根对计算设备的系统引导程序、系统程序、重要配置参数和应用程序等进行可信验证；2）应核查当检测到计算设备的可信性受到破坏后是否进行报警；3）应核查验证结果是否以审计记录的形式送至安全管理中心。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,可信验证,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.6 可信验证,第二级
81,"7.1.4.7 数据完整性
7.1.4.7.1 测评单元（L2-CES1-18）
该测评单元包括以下要求：
a）测评指标：应采用校验技术保证重要数据在传输过程中的完整性。b）测评对象：业务应用系统、数据库管理系统、中间件、系统管理软件及系统设计文档、数据安全保护系统、终端和服务器等设备中的操作系统及网络设备和安全设备等。c）测评实施：应核查系统设计文档，重要管理数据、重要业务数据在传输过程中是否采用了校验技术或密码技术保证完整性。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,数据完整性,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.7 数据完整性,第二级
82,"7.1.4.8 数据备份恢复
7.1.4.8.1 测评单元（L2-CES1-19）
该测评单元包括以下要求：
a）测评指标：应提供重要数据的本地数据备份与恢复功能。b）测评对象：配置数据和业务数据。c）测评实施包括以下内容：1）应核查是否按照备份策略进行本地备份；2）应核查备份策略设置是否合理、配置是否正确；3）应核查备份结果是否与备份策略一致；4）应核查近期恢复测试记录是否能够进行正常的数据恢复。d）单元判定：如果1）~4）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.8.2 测评单元（L2-CES1-20）
该测评单元包括以下要求：
a）测评指标：应提供异地数据备份功能，利用通信网络将重要数据定时批量传送至备用场地。b）测评对象：配置数据和业务数据。c）测评实施：应核查是否提供异地数据备份功能，并通过通信网络将重要配置数据、重要业务数据定时批量传送至备份场地。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,数据备份与恢复,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.8 数据备份恢复,第二级
83,"7.1.4.9 剩余信息保护
7.1.4.9.1 测评单元（L2-CES1-21）
该测评单元包括以下要求：
a）测评指标：应保证鉴别信息所在的存储空间被释放或重新分配前得到完全清除。b）测评对象：终端和服务器等设备中的操作系统、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施：应核查相关配置信息或系统设计文档，用户的鉴别信息所在的存储空间被释放或重新分配前是否得到完全清除。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,剩余信息保护,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.9 剩余信息保护,第二级
84,"7.1.4.10 个人信息保护
7.1.4.10.1 测评单元（L2-CES1-22）
该测评单元包括以下要求：
a）测评指标：应仅采集和保存业务必需的用户个人信息。b）测评对象：用户数据、业务应用系统和数据库管理系统等。c）测评实施包括以下内容：1）应核查采集的用户个人信息是否是业务应用必需的；2）应核查是否制定了有关用户个人信息保护的管理制度和流程。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.4.10.2 测评单元（L2-CES1-23）
该测评单元包括以下要求：
a）测评指标：应禁止未授权访问和非法使用用户个人信息。b）测评对象：业务应用系统和数据库管理系统等。c）测评实施包括以下内容：1）应核查是否采用技术措施限制对用户个人信息的访问和使用；2）应核查是否制定了有关用户个人信息保护的管理制度和流程。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,资产管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.4 安全计算环境,7.1.4.10 个人信息保护,第二级
85,"7.1.5.1 系统管理
7.1.5.1.1 测评单元（L2-SMC1-01）
该测评单元包括以下要求：
a）测评指标：应对系统管理员进行身份鉴别，只允许其通过特定的命令或操作界面进行系统管理操作，并对这些操作进行审计。b）测评对象：提供集中系统管理功能的系统。c）测评实施包括以下内容：1）应核查是否对系统管理员进行身份鉴别；2）应核查是否只允许系统管理员通过特定的命令或操作界面进行系统管理操作；3）应核查是否对系统管理的操作进行审计。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.5.1.2 测评单元（L2-SMC1-02）
该测评单元包括以下要求：
a）测评指标：应通过系统管理员对系统的资源和运行进行配置、控制和管理，包括用户身份、资源配置、系统加载和启动、系统运行的异常处理、数据和设备的备份与恢复等。b）测评对象：提供集中系统管理功能的系统。c）测评实施：应核查是否通过系统管理员对系统的资源和运行进行配置、控制和管理，包括用户身份、资源配置、系统加载和启动、系统运行的异常处理、数据和设备的备份与恢复等。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全运维管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.5 安全管理中心,7.1.5.1 系统管理,第二级
86,"7.1.5.2 审计管理
7.1.5.2.1 测评单元（L2-SMC1-03）
该测评单元包括以下要求：
a）测评指标：应对审计管理员进行身份鉴别，只允许其通过特定的命令或操作界面进行安全审计操作，并对这些操作进行审计。b）测评对象：综合安全审计系统、数据库审计系统等提供集中审计功能的系统。c）测评实施包括以下内容：1）应核查是否对审计管理员进行身份鉴别；2）应核查是否只允许审计管理员通过特定的命令或操作界面进行安全审计操作；3）应核查是否对审计管理员的操作进行审计。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.5.2.2 测评单元（L2-SMC1-04）
该测评单元包括以下要求：
a）测评指标：应通过审计管理员对审计记录进行分析，并根据分析结果进行处理，包括根据安全审计策略对审计记录进行存储、管理和查询等。b）测评对象：综合安全审计系统、数据库审计系统等提供集中审计功能的系统。c）测评实施：应核查是否通过审计管理员对审计记录进行分析，并根据分析结果进行处理，包括根据安全审计策略对审计记录进行存储、管理和查询等。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全审计,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.5 安全管理中心,7.1.5.2 审计管理,第二级
87,"7.1.6.1 安全策略
7.1.6.1.1 测评单元（L2-PSS1-01）
该测评单元包括以下要求：
a）测评指标：应制定网络安全工作的总体方针和安全策略，阐明机构安全工作的总体目标、范围、原则和安全框架等。b）测评对象：总体方针策略类文档。c）测评实施：应核查网络安全工作的总体方针和安全策略文件是否明确机构安全工作的总体目标、范围、原则和各类安全策略。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全管理制度,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.6 安全管理制度,7.1.6.1 安全策略,第二级
88,"7.1.6.2 管理制度
7.1.6.2.1 测评单元（L2-PSS1-02）
该测评单元包括以下要求：
a）测评指标：应对安全管理活动中的主要管理内容建立安全管理制度。b）测评对象：安全管理制度类文档。c）测评实施：应核查各项安全管理制度是否覆盖物理、网络、主机系统、数据、应用、建设和运维等管理内容。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.6.2.2 测评单元（L2-PSS1-03）
该测评单元包括以下要求：
a）测评指标：应对管理人员或操作人员执行的日常管理操作建立操作规程。b）测评对象：操作规程类文档。c）测评实施：应核查是否具有日常管理操作的操作规程，如系统维护手册和用户操作规程等。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全管理制度,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.6 安全管理制度,7.1.6.2 管理制度,第二级
89,"7.1.6.3 制定和发布
7.1.6.3.1 测评单元（L2-PSS1-04）
该测评单元包括以下要求：
a）测评指标：应指定或授权专门的部门或人员负责安全管理制度的制定。b）测评对象：部门/人员职责文件等。c）测评实施：应核查是否由专门的部门或人员负责制定安全管理制度。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.6.3.2 测评单元（L2-PSS1-05）
该测评单元包括以下要求：
a）测评指标：安全管理制度应通过正式、有效的方式发布，并进行版本控制。b）测评对象：管理制度类文档和记录表单类文档。c）测评实施包括以下内容：1）应核查制度制定和发布要求管理文档是否说明安全管理制度的制定和发布程序、格式要求及版本编号等相关内容；2）应核查安全管理制度的收发登记记录是否通过正式、有效的方式收发，如正式发文、领导签署和单位盖章等。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全管理制度,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.6 安全管理制度,7.1.6.3 制定和发布,第二级
90,"7.1.6.4 评审和修订
7.1.6.4.1 测评单元（L2-PSS1-06）
该测评单元包括以下要求：
a）测评指标：应定期对安全管理制度的合理性和适用性进行论证和审定，对存在不足或需要改进的安全管理制度进行修订。b）测评对象：信息/网络安全主管和记录表单类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否定期对安全管理制度体系的合理性和适用性进行审定；2）应核查是否具有安全管理制度的审定或论证记录，如果对制度做过修订，核查是否有修订版本的安全管理制度。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全管理制度,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.6 安全管理制度,7.1.6.4 评审和修订,第二级
91,"7.1.7.1 岗位设置
7.1.7.1.1 测评单元（L2-ORS1-01）
该测评单元包括以下要求：
a）测评指标：应设立网络安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。b）测评对象：信息/网络安全主管和管理制度类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否设立网络安全管理工作的职能部门；2）应核查部门职责文档是否明确网络安全管理工作的职能部门和各负责人职责；3）应核查岗位职责文档是否有岗位划分情况和岗位职责。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.7.1.2 测评单元（L2-ORS1-02）
该测评单元包括以下要求：
a）测评指标：应设立系统管理员、审计管理员和安全管理员等岗位，并定义部门及各个工作岗位的职责。b）测评对象：信息/网络安全主管和管理制度类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否进行了安全管理岗位的划分；2）应核查岗位职责文档是否明确了各部门及各岗位职责。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.1 岗位设置,第二级
92,"7.1.7.2 人员配备
7.1.7.2.1 测评单元（L2-ORS1-03）
该测评单元包括以下要求：
a）测评指标：应配备一定数量的系统管理员、审计管理员和安全管理员等。b）测评对象：信息/网络安全主管和记录表单类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否配备了系统管理员、审计管理员和安全管理员；2）应核查人员配备文档是否有各岗位人员配备情况。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.2 人员配备,第二级
93,"7.1.7.3 授权和审批
7.1.7.3.1 测评单元（L2-ORS1-04）
该测评单元包括以下要求：
a）测评指标：应根据各个部门和岗位的职责明确授权审批事项、审批部门和批准人等。b）测评对象：管理制度类文档和记录表单类文档。c）测评实施包括以下内容：1）应核查部门职责文档是否明确各部门审批事项；2）应核查岗位职责文档是否明确各岗位审批事项。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.7.3.2 测评单元（L2-ORS1-05）
该测评单元包括以下要求：
a）测评指标：应针对系统变更、重要操作、物理访问和系统接入等事项执行审批过程。b）测评对象：记录表单类文档。c）测评实施：应核查各类审批记录是否针对系统变更、重要操作、物理访问和系统接入等事项进行审批。d）单元判定：如果以上测评实施内容，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,访问控制,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.3 授权和审批,第二级
94,"7.1.7.4 沟通和合作
7.1.7.4.1 测评单元（L2-ORS1-06）
该测评单元包括以下要求：
a）测评指标：应加强各类管理人员、组织内部机构和网络安全管理部门之间的合作与沟通，定期召开协调会议，共同协作处理网络安全问题。b）测评对象：信息/网络安全主管和记录表单类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否建立了各类管理人员、组织内部机构和网络安全管理部门之间的合作与沟通机制；2）应核查会议记录是否明确各类管理人员、组织内部机构和网络安全管理部门之间开展了合作与沟通。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.7.4.2 测评单元（L2-ORS1-07）
该测评单元包括以下要求：
a）测评指标：应加强与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通。b）测评对象：信息/网络安全主管和记录表单类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否建立了与网络安全职能部门、各类供应商、业界专家及安全组织的合作与沟通机制；2）应核查会议记录是否明确了与网络安全职能部门、各类供应商、业界专家及安全组织是否开展了合作与沟通。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.7.4.3 测评单元（L2-ORS1-08）
该测评单元包括以下要求：
a）测评指标：应建立外联单位联系列表，包括外联单位名称、合作内容、联系人和联系方式等信息。b）测评对象：记录表单类文档。c）测评实施：应核查外联单位联系列表是否记录了外联单位名称、合作内容、联系人和联系方式等信息。d）单元判定：如果以上测评实施内容，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全运维管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.4 沟通和合作,第二级
95,"7.1.7.5 审核和检查
7.1.7.5.1 测评单元（L2-ORS1-09）
该测评单元包括以下要求：
a）测评指标：应定期进行常规安全检查，检查内容包括系统日常运行、系统漏洞和数据备份等情况。b）测评对象：信息/网络安全主管和记录表单类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否定期进行了常规安全检查；2）应核查常规安全核查记录是否包括了系统日常运行、系统漏洞和数据备份等情况。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全审计,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.7 安全管理机构,7.1.7.5 审核和检查,第二级
96,"7.1.8.1 人员录用
7.1.8.1.1 测评单元（L2-HRS1-01）
该测评单元包括以下要求：
a）测评指标：应指定或授权专门的部门或人员负责人员录用。b）测评对象：信息/网络安全主管。c）测评实施：应访谈信息/网络安全主管是否由专门的部门或人员负责人员的录用工作。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.8.1.2 测评单元（L2-HRS1-02）
该测评单元包括以下要求：
a）测评指标：应对被录用人员的身份、安全背景、专业资格或资质等进行审查。b）测评对象：管理制度类文档和记录表单类文档。c）测评实施包括以下内容：1）应核查人员安全管理文档是否说明录用人员应具备的条件（如学历、学位要求，技术人员应具备的专业技术水平，管理人员应具备的安全管理知识等）；2）应核查人员录用时对录用人身份、安全背景、专业资格或资质等进行审查的相关文档或记录，是否记录审查内容和审查结果等；3）应核查人员录用时的技能考核文档或记录是否记录考核内容和考核结果等。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.8 安全管理人员,7.1.8.1 人员录用,第二级
97,"7.1.8.2 人员离岗
7.1.8.2.1 测评单元（L2-HRS1-03）
该测评单元包括以下要求：
a）测评指标：应及时终止离岗人员的所有访问权限，取回各种身份证件、钥匙、徽章等以及机构提供的软硬件设备。b）测评对象：记录表单类文档。c）测评实施：应核查是否具有离岗人员终止其访问权限、交还身份证件、软硬件设备等的登记记录。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.8 安全管理人员,7.1.8.2 人员离岗,第二级
